Tanggal,Produk,Kategori,Qty_Terjual,Harga_Satuan,Total_Penjualan,Stok_Setelah_Transaksi
2025-04-12,Sereal Sarapan,Produk Susu,12,25000,300000,224
2024-04-29,Kecap Manis,Sembako,14,15000,210000,617
2023-12-29,Keju Slice,Produk Susu,15,18000,270000,554
2023-02-20,Susu Kental Manis,Produk Susu,3,12000,36000,539
2024-11-11,Coklat Batang,Snack,14,11000,154000,544
2024-05-23,Keju Slice,Produk Susu,5,18000,90000,549
2023-08-10,Keju Slice,Produk Susu,7,18000,126000,542
2023-03-21,Kopi Botol,Minuman,14,7000,98000,626
2024-03-31,Air Mineral,Minuman,5,4000,20000,570
2024-09-17,Teh Celup,Minuman,14,8000,112000,653
2023-02-18,Gula Pasir,Sembako,11,16000,176000,338
2025-03-27,Minyak Goreng,Sembako,9,28000,252000,357
2023-05-23,Kopi Botol,Minuman,13,7000,91000,613
2024-12-20,Tepung Terigu,Sembako,13,14000,182000,623
2024-11-09,Susu UHT,Produk Susu,1,9000,9000,656
2024-06-18,Saus Sambal,Sembako,5,13000,65000,582
2023-03-20,Tepung Terigu,Sembako,2,14000,28000,621
2025-06-08,Keripik Kentang,Snack,9,12000,108000,326
2025-11-13,Susu Kental Manis,Produk Susu,6,12000,72000,533
2024-01-25,Saus Sambal,Sembako,5,13000,65000,577
2025-06-12,Roti Tawar,Snack,3,15000,45000,518
2025-06-02,Teh Celup,Minuman,5,8000,40000,648
2024-10-04,Keripik Kentang,Snack,11,12000,132000,315
2024-09-07,Coklat Batang,Snack,10,11000,110000,534
2025-04-16,Kacang Panggang,Snack,10,10000,100000,368
2024-08-28,Roti Tawar,Snack,9,15000,135000,509
2025-05-11,Minyak Goreng,Sembako,15,28000,420000,342
2023-12-23,Kacang Panggang,Snack,10,10000,100000,358
2024-09-08,Biskuit Coklat,Snack,9,9000,81000,282
2023-01-01,Teh Botol,Minuman,5,5000,25000,373
2024-03-06,Telur Ayam,Sembako,9,30000,270000,299
2024-10-21,Keripik Kentang,Snack,9,12000,108000,306
2024-03-13,Yogurt Botol,Produk Susu,10,10000,100000,300
2023-12-14,Keju Slice,Produk Susu,11,18000,198000,531
2024-08-04,Mie Ayam Instan,Makanan Instan,11,4000,44000,262
2024-11-17,Wafer Coklat,Snack,2,8000,16000,352
2024-09-27,Kacang Panggang,Snack,4,10000,40000,354
2023-02-20,Beras Premium,Sembako,1,75000,75000,399
2025-08-31,Gula Pasir,Sembako,11,16000,176000,327
2025-04-28,Yogurt Botol,Produk Susu,17,10000,170000,283
2025-02-25,Roti Tawar,Snack,12,15000,180000,497
2023-10-30,Gula Pasir,Sembako,11,16000,176000,316
2023-01-12,Roti Tawar,Snack,15,15000,225000,482
2023-08-07,Sereal Sarapan,Produk Susu,13,25000,325000,211
2024-03-24,Susu Kental Manis,Produk Susu,5,12000,60000,528
2025-08-09,Minuman Isotonik,Minuman,3,8500,25500,486
2023-09-06,Kecap Manis,Sembako,8,15000,120000,609
2025-08-09,Beras Premium,Sembako,14,75000,1050000,385
2025-06-25,Sereal Sarapan,Produk Susu,14,25000,350000,197
2025-07-02,Teh Botol,Minuman,17,5000,85000,356
2025-08-30,Coklat Batang,Snack,11,11000,121000,523
2024-05-21,Sereal Sarapan,Produk Susu,16,25000,400000,181
2025-12-03,Tepung Terigu,Sembako,10,14000,140000,611
2025-06-19,Tepung Terigu,Sembako,5,14000,70000,606
2024-07-10,Gula Pasir,Sembako,7,16000,112000,309
2023-06-15,Saus Sambal,Sembako,3,13000,39000,574
2024-04-18,Beras Premium,Sembako,9,75000,675000,376
2024-03-14,Beras Premium,Sembako,3,75000,225000,373
2024-11-08,Susu Kental Manis,Produk Susu,10,12000,120000,518
2023-05-08,Susu Kental Manis,Produk Susu,4,12000,48000,514
2025-05-10,Teh Botol,Minuman,8,5000,40000,348
2025-02-18,Kopi Botol,Minuman,9,7000,63000,604
2024-09-03,Teh Celup,Minuman,14,8000,112000,634
2025-05-08,Kopi Botol,Minuman,11,7000,77000,593
2024-03-25,Air Mineral,Minuman,6,4000,24000,564
2023-03-01,Air Mineral,Minuman,7,4000,28000,557
2025-04-08,Kopi Sachet,Minuman,14,2500,35000,601
2025-08-15,Teh Botol,Minuman,17,5000,85000,331
2025-12-29,Keripik Kentang,Snack,5,12000,60000,301
2023-02-25,Biskuit Coklat,Snack,2,9000,18000,280
2025-05-27,Wafer Coklat,Snack,7,8000,56000,345
2023-04-13,Beras Medium,Sembako,5,65000,325000,384
2024-11-01,Susu UHT,Produk Susu,5,9000,45000,651
2024-11-22,Kopi Sachet,Minuman,14,2500,35000,587
2025-05-13,Tepung Terigu,Sembako,6,14000,84000,600
2023-02-09,Air Mineral,Minuman,12,4000,48000,545
2023-04-17,Jus Kotak,Minuman,6,7000,42000,282
2023-05-21,Gula Pasir,Sembako,13,16000,208000,296
2023-03-24,Wafer Coklat,Snack,13,8000,104000,332
2024-05-21,Indomie Goreng,Makanan Instan,4,3500,14000,602
2023-11-09,Keripik Kentang,Snack,4,12000,48000,297
2025-08-27,Beras Premium,Sembako,12,75000,900000,361
2024-03-22,Biskuit Coklat,Snack,10,9000,90000,270
2025-01-25,Tepung Terigu,Sembako,4,14000,56000,596
2023-12-02,Sereal Sarapan,Produk Susu,5,25000,125000,176
2023-02-22,Ramen Pedas,Makanan Instan,15,7000,105000,606
2025-02-07,Telur Ayam,Sembako,9,30000,270000,290
2024-05-12,Mie Ayam Instan,Makanan Instan,4,4000,16000,258
2024-09-09,Sereal Sarapan,Produk Susu,16,25000,400000,160
2023-09-05,Keripik Kentang,Snack,13,12000,156000,284
2023-03-26,Biskuit Coklat,Snack,6,9000,54000,264
2025-05-27,Jus Kotak,Minuman,14,7000,98000,268
2025-11-02,Mie Ayam Instan,Makanan Instan,14,4000,56000,244
2025-05-10,Indomie Goreng,Makanan Instan,18,3500,63000,584
2025-06-06,Ramen Pedas,Makanan Instan,10,7000,70000,596
2023-11-10,Roti Tawar,Snack,7,15000,105000,475
2025-12-04,Beras Medium,Sembako,14,65000,910000,370
2025-09-17,Keripik Kentang,Snack,12,12000,144000,272
2024-07-03,Teh Botol,Minuman,6,5000,30000,325
2023-06-27,Teh Botol,Minuman,5,5000,25000,320
2025-07-12,Saus Sambal,Sembako,8,13000,104000,566
2025-02-15,Biskuit Coklat,Snack,7,9000,63000,257
2024-10-27,Air Mineral,Minuman,4,4000,16000,541
2024-12-27,Minyak Goreng,Sembako,14,28000,392000,328
2024-07-26,Kopi Sachet,Minuman,17,2500,42500,570
2024-07-19,Roti Tawar,Snack,9,15000,135000,466
2024-01-27,Minuman Isotonik,Minuman,2,8500,17000,484
2025-04-12,Coklat Batang,Snack,10,11000,110000,513
2025-09-02,Roti Tawar,Snack,15,15000,225000,451
2023-02-05,Yogurt Botol,Produk Susu,2,10000,20000,281
2024-03-29,Telur Ayam,Sembako,9,30000,270000,281
2024-09-19,Gula Pasir,Sembako,13,16000,208000,283
2025-08-27,Teh Celup,Minuman,12,8000,96000,622
2024-11-08,Susu Kental Manis,Produk Susu,8,12000,96000,506
2024-07-08,Yogurt Botol,Produk Susu,6,10000,60000,275
2023-09-05,Gula Pasir,Sembako,12,16000,192000,271
2024-10-08,Minyak Goreng,Sembako,4,28000,112000,324
2024-01-15,Jus Kotak,Minuman,4,7000,28000,264
2025-09-18,Coklat Batang,Snack,8,11000,88000,505
2024-02-02,Ramen Pedas,Makanan Instan,5,7000,35000,591
2024-01-03,Teh Celup,Minuman,5,8000,40000,617
2025-12-29,Roti Tawar,Snack,6,15000,90000,445
2023-04-22,Indomie Soto,Makanan Instan,9,3500,31500,319
2023-09-16,Telur Ayam,Sembako,11,30000,330000,270
2025-10-02,Kopi Botol,Minuman,3,7000,21000,590
2024-08-05,Biskuit Coklat,Snack,9,9000,81000,248
2024-11-28,Yogurt Botol,Produk Susu,3,10000,30000,272
2025-09-05,Tepung Terigu,Sembako,3,14000,42000,593
2025-10-04,Susu UHT,Produk Susu,3,9000,27000,648
2023-11-02,Beras Premium,Sembako,13,75000,975000,348
2024-09-14,Biskuit Coklat,Snack,2,9000,18000,246
2025-05-02,Ramen Pedas,Makanan Instan,12,7000,84000,579
2025-12-06,Sereal Sarapan,Produk Susu,11,25000,275000,149
2025-06-25,Kecap Manis,Sembako,9,15000,135000,600
2023-05-04,Telur Ayam,Sembako,10,30000,300000,260
2023-07-23,Coklat Batang,Snack,13,11000,143000,492
2024-03-08,Minyak Goreng,Sembako,7,28000,196000,317
2023-11-18,Mie Ayam Instan,Makanan Instan,4,4000,16000,240
2023-06-03,Beras Medium,Sembako,3,65000,195000,367
2025-04-16,Indomie Goreng,Makanan Instan,12,3500,42000,572
2023-03-08,Telur Ayam,Sembako,4,30000,120000,256
2024-08-02,Telur Ayam,Sembako,13,30000,390000,243
2024-04-23,Mie Ayam Instan,Makanan Instan,16,4000,64000,224
2024-02-10,Keju Slice,Produk Susu,7,18000,126000,524
2024-04-05,Jus Kotak,Minuman,11,7000,77000,253
2024-06-28,Kecap Manis,Sembako,14,15000,210000,586
2023-05-03,Mie Ayam Instan,Makanan Instan,3,4000,12000,221
2024-09-21,Keju Slice,Produk Susu,12,18000,216000,512
2024-08-14,Teh Botol,Minuman,8,5000,40000,312
2024-09-14,Yogurt Botol,Produk Susu,13,10000,130000,259
2025-10-21,Tepung Terigu,Sembako,13,14000,182000,580
2023-06-14,Yogurt Botol,Produk Susu,10,10000,100000,249
2025-06-03,Indomie Soto,Makanan Instan,15,3500,52500,304
2024-05-27,Keripik Kentang,Snack,1,12000,12000,271
2023-02-12,Gula Pasir,Sembako,13,16000,208000,258
2024-07-05,Kacang Panggang,Snack,10,10000,100000,344
2023-12-25,Sereal Sarapan,Produk Susu,8,25000,200000,141
2025-06-24,Minuman Isotonik,Minuman,18,8500,153000,466
2025-06-11,Beras Medium,Sembako,15,65000,975000,352
2025-08-20,Mie Ayam Instan,Makanan Instan,10,4000,40000,211
2024-10-19,Kopi Sachet,Minuman,11,2500,27500,559
2023-11-26,Kopi Botol,Minuman,6,7000,42000,584
2025-10-11,Susu Kental Manis,Produk Susu,9,12000,108000,497
2023-03-17,Teh Botol,Minuman,8,5000,40000,304
2024-10-06,Mie Ayam Instan,Makanan Instan,6,4000,24000,205
2025-04-07,Ramen Pedas,Makanan Instan,15,7000,105000,564
2025-08-04,Kacang Panggang,Snack,8,10000,80000,336
2025-11-27,Minyak Goreng,Sembako,10,28000,280000,307
2025-06-24,Wafer Coklat,Snack,14,8000,112000,318
2024-06-30,Minyak Goreng,Sembako,9,28000,252000,298
2024-08-12,Kecap Manis,Sembako,10,15000,150000,576
2023-09-06,Air Mineral,Minuman,1,4000,4000,540
2024-05-05,Wafer Coklat,Snack,12,8000,96000,306
2023-01-29,Telur Ayam,Sembako,9,30000,270000,234
2023-07-10,Susu Kental Manis,Produk Susu,4,12000,48000,493
2023-08-21,Teh Botol,Minuman,8,5000,40000,296
2023-11-12,Ramen Pedas,Makanan Instan,8,7000,56000,556
2024-08-20,Kecap Manis,Sembako,11,15000,165000,565
2025-04-30,Tepung Terigu,Sembako,18,14000,252000,562
2024-05-14,Air Mineral,Minuman,10,4000,40000,530
2025-02-24,Beras Premium,Sembako,6,75000,450000,342
2023-05-23,Kopi Botol,Minuman,5,7000,35000,579
2025-04-29,Sereal Sarapan,Produk Susu,9,25000,225000,132
2023-01-06,Teh Botol,Minuman,5,5000,25000,291
2024-09-03,Coklat Batang,Snack,16,11000,176000,476
2025-09-29,Biskuit Coklat,Snack,16,9000,144000,230
2025-09-18,Yogurt Botol,Produk Susu,9,10000,90000,240
2025-02-11,Jus Kotak,Minuman,11,7000,77000,242
2024-01-22,Kopi Botol,Minuman,12,7000,84000,567
2025-02-23,Biskuit Coklat,Snack,8,9000,72000,222
2024-10-13,Indomie Soto,Makanan Instan,13,3500,45500,291
2025-02-19,Roti Tawar,Snack,9,15000,135000,436
2023-03-17,Air Mineral,Minuman,3,4000,12000,527
2024-11-10,Minuman Isotonik,Minuman,14,8500,119000,452
2025-06-20,Kopi Botol,Minuman,6,7000,42000,561
2023-10-23,Indomie Goreng,Makanan Instan,7,3500,24500,565
2023-11-13,Kopi Botol,Minuman,2,7000,14000,559
2024-06-26,Air Mineral,Minuman,8,4000,32000,519
2025-03-25,Roti Tawar,Snack,12,15000,180000,424
2024-11-03,Kopi Botol,Minuman,16,7000,112000,543
2025-12-28,Kopi Botol,Minuman,10,7000,70000,533
2025-09-26,Wafer Coklat,Snack,15,8000,120000,291
2023-05-21,Keripik Kentang,Snack,4,12000,48000,267
2024-08-11,Wafer Coklat,Snack,6,8000,48000,285
2025-06-07,Mie Ayam Instan,Makanan Instan,3,4000,12000,202
2023-12-07,Yogurt Botol,Produk Susu,12,10000,120000,228
2023-03-01,Telur Ayam,Sembako,1,30000,30000,233
2023-04-25,Kopi Sachet,Minuman,5,2500,12500,554
2025-02-06,Teh Celup,Minuman,9,8000,72000,608
2025-12-23,Gula Pasir,Sembako,9,16000,144000,249
2023-12-25,Beras Medium,Sembako,2,65000,130000,350
2025-02-22,Keripik Kentang,Snack,12,12000,144000,255
2023-10-21,Air Mineral,Minuman,4,4000,16000,515
2024-06-04,Yogurt Botol,Produk Susu,9,10000,90000,219
2023-01-20,Kacang Panggang,Snack,15,10000,150000,321
2025-08-10,Keju Slice,Produk Susu,18,18000,324000,494
2023-11-20,Kacang Panggang,Snack,2,10000,20000,319
2024-12-08,Yogurt Botol,Produk Susu,11,10000,110000,208
2025-05-18,Wafer Coklat,Snack,15,8000,120000,270
2024-09-10,Yogurt Botol,Produk Susu,5,10000,50000,203
2025-09-16,Kopi Botol,Minuman,4,7000,28000,529
2025-01-05,Susu UHT,Produk Susu,13,9000,117000,635
2024-08-27,Roti Tawar,Snack,3,15000,45000,421
2024-07-16,Susu UHT,Produk Susu,3,9000,27000,632
2023-04-11,Kopi Botol,Minuman,15,7000,105000,514
2025-10-14,Keripik Kentang,Snack,17,12000,204000,238
2024-04-16,Sereal Sarapan,Produk Susu,11,25000,275000,121
2024-01-25,Gula Pasir,Sembako,11,16000,176000,238
2023-10-08,Kacang Panggang,Snack,11,10000,110000,308
2023-03-22,Ramen Pedas,Makanan Instan,5,7000,35000,551
2025-06-21,Keju Slice,Produk Susu,4,18000,72000,490
2023-09-27,Coklat Batang,Snack,2,11000,22000,474
2024-08-27,Kecap Manis,Sembako,8,15000,120000,557
2023-12-26,Susu Kental Manis,Produk Susu,4,12000,48000,489
2025-01-19,Beras Premium,Sembako,12,75000,900000,330
2023-12-03,Teh Botol,Minuman,5,5000,25000,286
2025-09-13,Kecap Manis,Sembako,16,15000,240000,541
2024-11-24,Coklat Batang,Snack,13,11000,143000,461
2023-06-04,Yogurt Botol,Produk Susu,3,10000,30000,200
2024-04-07,Sereal Sarapan,Produk Susu,16,25000,400000,105
2025-03-24,Coklat Batang,Snack,17,11000,187000,444
2025-03-19,Mie Ayam Instan,Makanan Instan,4,4000,16000,198
2023-09-11,Jus Kotak,Minuman,8,7000,56000,234
2024-06-20,Teh Celup,Minuman,11,8000,88000,597
2025-01-30,Teh Botol,Minuman,4,5000,20000,282
2023-02-21,Air Mineral,Minuman,10,4000,40000,505
2024-11-02,Saus Sambal,Sembako,17,13000,221000,549
2023-05-10,Gula Pasir,Sembako,11,16000,176000,227
2025-08-08,Teh Botol,Minuman,18,5000,90000,264
2025-04-16,Wafer Coklat,Snack,4,8000,32000,266
2023-03-18,Indomie Soto,Makanan Instan,5,3500,17500,286
2023-08-26,Air Mineral,Minuman,2,4000,8000,503
2023-10-05,Gula Pasir,Sembako,7,16000,112000,220
2025-01-29,Yogurt Botol,Produk Susu,15,10000,150000,185
2023-11-13,Biskuit Coklat,Snack,15,9000,135000,207
2023-07-22,Susu Kental Manis,Produk Susu,14,12000,168000,475
2025-04-15,Air Mineral,Minuman,6,4000,24000,497
2025-01-28,Roti Tawar,Snack,8,15000,120000,413
2024-04-28,Yogurt Botol,Produk Susu,15,10000,150000,170
2025-01-22,Ramen Pedas,Makanan Instan,12,7000,84000,539
2025-03-26,Indomie Soto,Makanan Instan,7,3500,24500,279
2025-07-20,Ramen Pedas,Makanan Instan,4,7000,28000,535
2023-02-13,Wafer Coklat,Snack,1,8000,8000,265
2024-11-14,Keju Slice,Produk Susu,4,18000,72000,486
2024-02-25,Keju Slice,Produk Susu,4,18000,72000,482
2024-03-18,Minyak Goreng,Sembako,14,28000,392000,284
2023-10-30,Kopi Sachet,Minuman,13,2500,32500,541
2023-01-06,Saus Sambal,Sembako,5,13000,65000,544
2023-10-24,Kopi Botol,Minuman,3,7000,21000,511
2024-05-28,Jus Kotak,Minuman,13,7000,91000,221
2023-02-22,Ramen Pedas,Makanan Instan,3,7000,21000,532
2025-01-03,Indomie Goreng,Makanan Instan,15,3500,52500,550
2024-10-25,Biskuit Coklat,Snack,1,9000,9000,206
2023-04-18,Tepung Terigu,Sembako,3,14000,42000,559
2025-05-12,Coklat Batang,Snack,10,11000,110000,434
2023-05-11,Coklat Batang,Snack,8,11000,88000,426
2025-01-11,Yogurt Botol,Produk Susu,10,10000,100000,160
2025-10-28,Yogurt Botol,Produk Susu,5,10000,50000,155
2025-12-03,Coklat Batang,Snack,9,11000,99000,417
2023-03-05,Wafer Coklat,Snack,1,8000,8000,264
2025-04-02,Air Mineral,Minuman,8,4000,32000,489
2025-06-27,Air Mineral,Minuman,3,4000,12000,486
2023-10-31,Kopi Sachet,Minuman,2,2500,5000,539
2024-07-17,Beras Premium,Sembako,12,75000,900000,318
2024-10-27,Biskuit Coklat,Snack,9,9000,81000,197
2024-08-26,Minuman Isotonik,Minuman,10,8500,85000,442
2025-05-31,Keripik Kentang,Snack,3,12000,36000,235
2024-03-16,Kopi Botol,Minuman,8,7000,56000,503
2024-04-12,Saus Sambal,Sembako,8,13000,104000,536
2025-07-17,Teh Botol,Minuman,11,5000,55000,253
2023-07-14,Coklat Batang,Snack,6,11000,66000,411
2024-10-02,Susu Kental Manis,Produk Susu,12,12000,144000,463
2023-11-09,Teh Celup,Minuman,11,8000,88000,586
2025-08-29,Kecap Manis,Sembako,3,15000,45000,538
2023-06-24,Teh Botol,Minuman,2,5000,10000,251
2023-07-17,Susu Kental Manis,Produk Susu,12,12000,144000,451
2025-02-02,Coklat Batang,Snack,15,11000,165000,396
2023-05-03,Jus Kotak,Minuman,10,7000,70000,211
2024-11-06,Jus Kotak,Minuman,11,7000,77000,200
2024-12-25,Susu Kental Manis,Produk Susu,16,12000,192000,435
2025-05-16,Sereal Sarapan,Produk Susu,15,25000,375000,90
2024-10-01,Telur Ayam,Sembako,6,30000,180000,227
2025-11-05,Biskuit Coklat,Snack,6,9000,54000,191
2025-09-14,Kacang Panggang,Snack,5,10000,50000,303
2025-01-22,Teh Celup,Minuman,5,8000,40000,581
2024-04-08,Biskuit Coklat,Snack,14,9000,126000,177
2023-02-23,Kopi Botol,Minuman,10,7000,70000,493
2024-07-01,Kecap Manis,Sembako,1,15000,15000,537
2024-09-24,Tepung Terigu,Sembako,16,14000,224000,543
2023-01-13,Teh Celup,Minuman,3,8000,24000,578
2023-10-21,Kopi Botol,Minuman,10,7000,70000,483
2025-03-31,Kacang Panggang,Snack,4,10000,40000,299
2023-03-04,Coklat Batang,Snack,2,11000,22000,394
2025-12-22,Coklat Batang,Snack,8,11000,88000,386
2025-07-18,Susu Kental Manis,Produk Susu,8,12000,96000,427
2024-09-30,Teh Celup,Minuman,13,8000,104000,565
2023-06-23,Sereal Sarapan,Produk Susu,15,25000,375000,75
2023-11-15,Indomie Soto,Makanan Instan,3,3500,10500,276
2023-04-12,Sereal Sarapan,Produk Susu,11,25000,275000,64
2024-07-11,Mie Ayam Instan,Makanan Instan,10,4000,40000,188
2025-09-21,Susu Kental Manis,Produk Susu,14,12000,168000,413
2024-07-13,Susu Kental Manis,Produk Susu,6,12000,72000,407
2024-12-07,Ramen Pedas,Makanan Instan,7,7000,49000,525
2025-09-23,Telur Ayam,Sembako,12,30000,360000,215
2024-03-27,Indomie Soto,Makanan Instan,9,3500,31500,267
2023-01-16,Indomie Soto,Makanan Instan,4,3500,14000,263
2024-03-08,Telur Ayam,Sembako,13,30000,390000,202
