Tanggal,Produk,Kategori,Qty_Terjual,Harga_Satuan,Total_Penjualan,Stok_Setelah_Transaksi
2025-03-02,Telur Ayam,Sembako,8.0,30000,240000.0,180.0
2023-05-24,Susu UHT,Produk Susu,9.0,9000,81000.0,409.0
2023-02-14,Keju Slice,Produk Susu,7.0,18000,126000.0,608.0
2023-03-01,Telur Ayam,Sembako,1.0,30000,30000.0,233.0
2023-02-27,Air Mineral,Minuman,13.0,4000,52000.0,401.0
2024-04-30,Keju Slice,Produk Susu,13.0,18000,234000.0,150.0
2024-02-05,Air Mineral,Minuman,3.0,4000,12000.0,339.0
2025-02-16,Kopi Sachet,Minuman,7.0,2500,17500.0,195.0
2025-08-04,Indomie Soto,Makanan Instan,2.0,3500,7000.0,430.0
2025-12-24,Keju Slice,Produk Susu,10.0,18000,180000.0,213.0
2023-12-11,,Produk Susu,,12000,,
2025-07-16,Keripik Kentang,Snack,8.0,12000,96000.0,454.0
2025-02-01,Tepung Terigu,Sembako,16.0,14000,224000.0,406.0
2024-06-21,Biskuit Coklat,Snack,13.0,9000,117000.0,155.0
2023-04-10,Kopi Botol,Minuman,,7000,,175.0
2023-09-10,Telur Ayam,Sembako,1.0,30000,30000.0,96.0
2024-05-11,Teh Celup,Minuman,13.0,8000,104000.0,189.0
2025-06-24,Keripik Kentang,Snack,12.0,12000,144000.0,341.0
2023-07-12,Yogurt Botol,Produk Susu,9.0,10000,90000.0,464.0
2023-02-27,Gula Pasir,Sembako,6.0,16000,96000.0,186.0
2023-04-14,Indomie Soto,Makanan Instan,5.0,3500,17500.0,233.0
2024-04-11,,Snack,12.0,9000,,135.0
2025-08-31,Air Mineral,Minuman,11.0,4000,44000.0,163.0
2024-07-13,Susu Kental Manis,Produk Susu,7.0,12000,84000.0,436.0
2024-01-27,Kacang Panggang,Snack,7.0,10000,70000.0,382.0
2025-08-27,Susu UHT,Produk Susu,11.0,9000,99000.0,184.0
2025-01-08,,Minuman,,2500,17500.0,239.0
2023-02-22,Teh Botol,Minuman,6.0,5000,30000.0,151.0
2024-06-25,Beras Premium,Sembako,2.0,75000,150000.0,400.0
2024-07-29,Keripik Kentang,Snack,6.0,12000,72000.0,253.0
2023-05-03,Mie Ayam Instan,Makanan Instan,3.0,4000,12000.0,221.0
2025-04-02,Air Mineral,Minuman,8.0,4000,32000.0,489.0
2023-08-28,Beras Premium,Sembako,5.0,75000,375000.0,517.0
2023-12-15,Keripik Kentang,Snack,6.0,12000,72000.0,675.0
2024-05-26,Kecap Manis,Sembako,6.0,15000,90000.0,125.0
2024-08-24,Susu UHT,Produk Susu,10.0,9000,90000.0,82.0
2023-10-06,Kacang Panggang,Snack,15.0,10000,150000.0,102.0
2025-12-17,Kopi Botol,Minuman,10.0,7000,70000.0,95.0
2024-10-02,,Produk Susu,,12000,,
2023-02-23,Telur Ayam,Sembako,4.0,30000,120000.0,457.0
2025-03-01,Susu UHT,Produk Susu,13.0,9000,117000.0,291.0
2023-05-23,,Minuman,5.0,7000,,579.0
2024-02-26,Tepung Terigu,Sembako,6.0,14000,84000.0,400.0
2023-11-13,Kacang Panggang,Snack,10.0,10000,100000.0,87.0
2024-12-12,Keju Slice,Produk Susu,14.0,18000,252000.0,147.0
2023-11-20,Kecap Manis,Sembako,8.0,15000,120000.0,372.0
2023-04-25,Teh Botol,Minuman,4.0,5000,20000.0,391.0
2024-08-19,Air Mineral,Minuman,13.0,4000,52000.0,306.0
2025-01-18,Jus Kotak,Minuman,15.0,7000,105000.0,129.0
2023-11-11,Kopi Sachet,Minuman,1.0,2500,2500.0,573.0
2024-07-26,Ramen Pedas,Makanan Instan,13.0,7000,91000.0,237.0
2023-10-14,Teh Celup,Minuman,8.0,8000,64000.0,564.0
2023-05-04,Indomie Goreng,Makanan Instan,15.0,3500,52500.0,528.0
2024-08-26,Minuman Isotonik,Minuman,10.0,8500,85000.0,442.0
2024-02-01,Jus Kotak,Minuman,13.0,7000,91000.0,384.0
2023-06-13,Susu UHT,Produk Susu,9.0,9000,81000.0,340.0
2025-06-23,Minyak Goreng,Sembako,8.0,28000,224000.0,83.0
2024-10-02,Coklat Batang,Snack,4.0,11000,44000.0,352.0
2023-12-09,Ramen Pedas,Makanan Instan,11.0,7000,77000.0,496.0
2023-01-26,Jus Kotak,Minuman,12.0,7000,84000.0,62.0
2025-05-02,Biskuit Coklat,Snack,5.0,9000,45000.0,60.0
2023-10-10,Saus Sambal,Sembako,13.0,13000,169000.0,50.0
2023-05-06,Tepung Terigu,Sembako,11.0,14000,154000.0,113.0
2025-03-13,Susu Kental Manis,Produk Susu,7.0,12000,84000.0,537.0
2025-10-20,Teh Celup,Minuman,9.0,8000,72000.0,385.0
2024-02-04,Kecap Manis,Sembako,14.0,15000,210000.0,724.0
2023-03-29,Beras Medium,Sembako,12.0,65000,780000.0,215.0
2023-08-22,Biskuit Coklat,Snack,6.0,9000,54000.0,616.0
2025-06-24,Kecap Manis,Sembako,14.0,15000,210000.0,445.0
2025-10-28,Kopi Botol,Minuman,2.0,7000,14000.0,152.0
2023-05-29,Kecap Manis,Sembako,1.0,15000,15000.0,646.0
2025-06-12,Roti Tawar,Snack,8.0,15000,120000.0,68.0
2023-02-22,Ramen Pedas,Makanan Instan,3.0,7000,21000.0,532.0
2024-09-28,Wafer Coklat,Snack,12.0,8000,96000.0,438.0
2024-05-05,Kecap Manis,Sembako,7.0,15000,105000.0,293.0
2024-01-17,,Snack,,15000,45000.0,
2025-10-22,Teh Celup,Minuman,16.0,8000,128000.0,131.0
2024-02-27,Kopi Botol,Minuman,15.0,7000,105000.0,496.0
2025-10-02,Coklat Batang,Snack,12.0,11000,132000.0,245.0
2023-01-01,Jus Kotak,Minuman,14.0,7000,98000.0,396.0
2025-05-03,Sereal Sarapan,Produk Susu,11.0,25000,275000.0,617.0
2025-06-20,Jus Kotak,Minuman,3.0,7000,21000.0,475.0
2025-09-24,Roti Tawar,Snack,7.0,15000,105000.0,652.0
2024-08-22,Susu Kental Manis,Produk Susu,10.0,12000,120000.0,656.0
2025-09-02,Minyak Goreng,Sembako,5.0,28000,140000.0,331.0
2023-04-02,Yogurt Botol,Produk Susu,15.0,10000,150000.0,418.0
2025-10-02,Susu UHT,Produk Susu,4.0,9000,36000.0,340.0
2025-08-05,Tepung Terigu,Sembako,13.0,14000,182000.0,278.0
2023-12-08,Air Mineral,Minuman,6.0,4000,24000.0,325.0
2023-09-28,Beras Premium,Sembako,6.0,75000,450000.0,660.0
2025-05-14,,Minuman,14.0,7000,,241.0
2023-07-14,Coklat Batang,Snack,,11000,,411.0
2024-10-12,Beras Medium,Sembako,14.0,65000,910000.0,267.0
2024-01-21,Kopi Sachet,Minuman,12.0,2500,30000.0,346.0
2025-05-11,Kopi Botol,Minuman,8.0,7000,56000.0,231.0
2025-07-02,Teh Botol,Minuman,17.0,5000,85000.0,356.0
2023-09-20,Kopi Botol,Minuman,5.0,7000,35000.0,550.0
2024-10-24,Keju Slice,Produk Susu,9.0,18000,162000.0,407.0
2025-03-06,Yogurt Botol,Produk Susu,11.0,10000,110000.0,661.0
2025-12-06,Gula Pasir,Sembako,3.0,16000,48000.0,160.0
2023-12-16,Keripik Kentang,Snack,14.0,12000,168000.0,198.0
2023-01-17,,Produk Susu,15.0,9000,135000.0,
2024-07-04,Biskuit Coklat,Snack,12.0,9000,108000.0,555.0
2025-08-28,Minyak Goreng,Sembako,13.0,28000,364000.0,392.0
2025-12-26,Susu UHT,Produk Susu,14.0,9000,126000.0,618.0
2024-08-12,Teh Celup,Minuman,14.0,8000,112000.0,175.0
2024-02-25,,Produk Susu,7.0,9000,63000.0,199.0
2024-02-13,Susu UHT,Produk Susu,16.0,9000,144000.0,398.0
2025-10-29,,Snack,,11000,,
2025-05-28,Mie Ayam Instan,Makanan Instan,6.0,4000,24000.0,373.0
2025-04-25,Beras Premium,Sembako,14.0,75000,1050000.0,258.0
2024-01-03,Sereal Sarapan,Produk Susu,14.0,25000,350000.0,313.0
2024-06-21,Beras Premium,Sembako,15.0,75000,1125000.0,343.0
2023-09-24,Sereal Sarapan,Produk Susu,14.0,25000,350000.0,547.0
2025-06-24,Minyak Goreng,Sembako,8.0,28000,224000.0,98.0
2025-04-12,Coklat Batang,Snack,10.0,11000,110000.0,513.0
2025-05-30,Indomie Soto,Makanan Instan,6.0,3500,21000.0,389.0
2024-07-16,Teh Botol,Minuman,6.0,5000,30000.0,371.0
2023-07-25,Susu Kental Manis,Produk Susu,15.0,12000,180000.0,158.0
2023-04-22,Beras Medium,Sembako,13.0,65000,845000.0,229.0
2025-08-24,Indomie Soto,Makanan Instan,12.0,3500,42000.0,133.0
2024-11-02,Minuman Isotonik,Minuman,3.0,8500,25500.0,373.0
2025-09-07,Coklat Batang,Snack,17.0,11000,187000.0,275.0
2023-12-22,Tepung Terigu,Sembako,11.0,14000,154000.0,446.0
2025-06-30,Jus Kotak,Minuman,5.0,7000,35000.0,287.0
2024-07-19,Beras Medium,Sembako,10.0,65000,650000.0,301.0
2024-12-07,Susu Kental Manis,Produk Susu,7.0,12000,84000.0,413.0
2024-12-01,Teh Botol,Minuman,9.0,5000,45000.0,307.0
2025-08-05,Coklat Batang,Snack,5.0,11000,55000.0,66.0
2024-07-13,Susu Kental Manis,Produk Susu,6.0,12000,72000.0,407.0
2023-04-19,Ramen Pedas,Makanan Instan,14.0,7000,98000.0,599.0
2024-10-08,Minyak Goreng,Sembako,4.0,28000,112000.0,324.0
2024-12-19,Biskuit Coklat,Snack,16.0,9000,144000.0,567.0
2025-08-25,,Snack,15.0,12000,180000.0,211.0
2024-08-20,Indomie Soto,Makanan Instan,15.0,3500,52500.0,258.0
2025-11-02,Sereal Sarapan,Produk Susu,9.0,25000,225000.0,506.0
2023-11-18,Indomie Goreng,Makanan Instan,9.0,3500,31500.0,262.0
2025-09-18,Indomie Goreng,Makanan Instan,17.0,3500,59500.0,
2025-07-23,Susu UHT,Produk Susu,5.0,9000,45000.0,60.0
2024-03-31,Susu Kental Manis,Produk Susu,,12000,,457.0
2023-09-05,Teh Botol,Minuman,1.0,5000,5000.0,418.0
2025-04-08,Biskuit Coklat,Snack,16.0,9000,144000.0,161.0
2024-01-21,Indomie Soto,Makanan Instan,4.0,3500,14000.0,355.0
2023-06-08,Beras Medium,Sembako,11.0,65000,715000.0,359.0
2025-08-27,Tepung Terigu,Sembako,,14000,,187.0
2023-01-06,Kopi Sachet,Minuman,14.0,2500,35000.0,343.0
2025-06-07,Indomie Soto,Makanan Instan,14.0,3500,49000.0,448.0
2024-10-14,Susu Kental Manis,Produk Susu,14.0,12000,168000.0,394.0
2024-04-06,Keju Slice,Produk Susu,4.0,18000,72000.0,286.0
2023-03-20,Teh Celup,Minuman,9.0,8000,72000.0,424.0
2024-01-29,Beras Medium,Sembako,16.0,65000,1040000.0,323.0
2023-10-14,Ramen Pedas,Makanan Instan,2.0,7000,14000.0,417.0
2023-04-25,Teh Botol,Minuman,13.0,5000,65000.0,452.0
2023-09-28,Minyak Goreng,Sembako,15.0,28000,420000.0,120.0
2025-08-26,Teh Celup,Minuman,8.0,8000,64000.0,621.0
2023-10-27,Kacang Panggang,Snack,12.0,10000,120000.0,601.0
2024-02-15,Coklat Batang,Snack,9.0,11000,99000.0,276.0
2025-06-13,Coklat Batang,Snack,17.0,11000,187000.0,161.0
2023-06-01,,Minuman,3.0,5000,15000.0,
2024-01-13,Roti Tawar,Snack,6.0,15000,90000.0,261.0
2025-11-25,Susu UHT,Produk Susu,9.0,9000,81000.0,429.0
2023-04-10,Coklat Batang,Snack,9.0,11000,99000.0,562.0
2025-05-18,Yogurt Botol,Produk Susu,13.0,10000,130000.0,680.0
2024-03-11,Yogurt Botol,Produk Susu,3.0,10000,30000.0,500.0
2023-08-07,Minuman Isotonik,Minuman,1.0,8500,8500.0,240.0
2023-06-04,Ramen Pedas,Makanan Instan,15.0,7000,105000.0,621.0
2024-11-19,Minuman Isotonik,Minuman,8.0,8500,68000.0,232.0
2023-02-13,Ramen Pedas,Makanan Instan,8.0,7000,56000.0,399.0
2024-03-07,Gula Pasir,Sembako,14.0,16000,224000.0,419.0
2025-04-20,Yogurt Botol,Produk Susu,14.0,10000,140000.0,672.0
2023-10-06,Wafer Coklat,Snack,8.0,8000,64000.0,374.0
2023-11-12,Keripik Kentang,Snack,14.0,12000,168000.0,239.0
2024-01-21,Teh Botol,Minuman,5.0,5000,25000.0,62.0
2023-12-31,Tepung Terigu,Sembako,4.0,14000,56000.0,422.0
2023-05-23,Kopi Botol,Minuman,13.0,7000,91000.0,613.0
2025-12-09,Sereal Sarapan,Produk Susu,16.0,25000,400000.0,437.0
2023-03-31,Air Mineral,Minuman,5.0,4000,20000.0,232.0
2024-05-31,Susu Kental Manis,Produk Susu,8.0,12000,96000.0,285.0
2025-07-03,Wafer Coklat,Snack,11.0,8000,88000.0,100.0
2025-03-05,Susu Kental Manis,Produk Susu,12.0,12000,144000.0,59.0
2024-10-13,Beras Premium,Sembako,13.0,75000,975000.0,387.0
2025-07-10,Susu UHT,Produk Susu,10.0,9000,90000.0,356.0
2023-05-18,Telur Ayam,Sembako,5.0,30000,150000.0,268.0
2023-11-11,Susu Kental Manis,Produk Susu,6.0,12000,72000.0,156.0
2023-11-30,Kecap Manis,Sembako,2.0,15000,30000.0,317.0
2023-10-21,Ramen Pedas,Makanan Instan,7.0,7000,49000.0,613.0
2025-12-08,Mie Ayam Instan,Makanan Instan,16.0,4000,64000.0,385.0
2024-03-03,Kecap Manis,Sembako,12.0,15000,180000.0,117.0
2023-07-24,Coklat Batang,Snack,11.0,11000,121000.0,369.0
2023-03-22,Telur Ayam,Sembako,11.0,30000,330000.0,182.0
2024-05-14,Saus Sambal,Sembako,3.0,13000,39000.0,238.0
2024-01-20,Kopi Botol,Minuman,9.0,7000,63000.0,555.0
2024-02-22,Jus Kotak,Minuman,4.0,7000,28000.0,357.0
2025-01-03,Coklat Batang,Snack,15.0,11000,165000.0,444.0
2024-01-05,Beras Medium,Sembako,10.0,65000,650000.0,286.0
2025-06-02,Sereal Sarapan,Produk Susu,5.0,25000,125000.0,140.0
2025-04-28,Ramen Pedas,Makanan Instan,2.0,7000,14000.0,318.0
2023-05-19,Keripik Kentang,Snack,10.0,12000,120000.0,396.0
2025-01-05,Roti Tawar,Snack,5.0,15000,75000.0,281.0
2023-07-05,Beras Premium,Sembako,6.0,75000,450000.0,178.0
2025-11-18,Jus Kotak,Minuman,4.0,7000,28000.0,163.0
2025-07-18,Susu Kental Manis,Produk Susu,8.0,12000,96000.0,427.0
2023-09-26,Ramen Pedas,Makanan Instan,15.0,7000,105000.0,54.0
2024-02-28,Indomie Goreng,Makanan Instan,5.0,3500,17500.0,321.0
2024-02-23,Roti Tawar,Snack,7.0,15000,105000.0,288.0
2025-02-14,Beras Premium,Sembako,11.0,75000,825000.0,358.0
2023-11-13,Kopi Botol,Minuman,2.0,7000,14000.0,559.0
2024-08-31,Indomie Soto,Makanan Instan,11.0,3500,38500.0,164.0
2024-01-28,Minyak Goreng,Sembako,10.0,28000,280000.0,129.0
2023-04-30,Susu Kental Manis,Produk Susu,10.0,12000,120000.0,192.0
2025-03-20,Biskuit Coklat,Snack,7.0,9000,63000.0,91.0
2023-06-08,Minuman Isotonik,Minuman,4.0,8500,34000.0,402.0
2024-12-06,Biskuit Coklat,Snack,15.0,9000,135000.0,289.0
2023-04-25,Gula Pasir,Sembako,9.0,16000,144000.0,433.0
2023-04-22,Coklat Batang,Snack,4.0,11000,44000.0,391.0
2023-06-12,Coklat Batang,Snack,14.0,11000,154000.0,52.0
2025-08-17,Indomie Soto,Makanan Instan,12.0,3500,42000.0,73.0
2025-04-22,Kecap Manis,Sembako,6.0,15000,90000.0,595.0
2025-02-04,Kopi Sachet,Minuman,13.0,2500,32500.0,461.0
2024-04-23,Teh Botol,Minuman,6.0,5000,30000.0,227.0
2024-06-26,Saus Sambal,Sembako,4.0,13000,52000.0,340.0
2023-06-22,Minyak Goreng,Sembako,7.0,28000,196000.0,246.0
2023-01-25,Coklat Batang,Snack,10.0,11000,110000.0,442.0
2024-05-05,Minyak Goreng,Sembako,15.0,28000,420000.0,178.0
2025-03-13,Coklat Batang,Snack,7.0,11000,77000.0,540.0
2024-07-28,Telur Ayam,Sembako,15.0,30000,450000.0,347.0
2023-06-13,Roti Tawar,Snack,3.0,15000,45000.0,267.0
2025-02-22,Beras Premium,Sembako,15.0,75000,1125000.0,145.0
2023-09-10,Ramen Pedas,Makanan Instan,3.0,7000,21000.0,278.0
2023-04-13,Ramen Pedas,Makanan Instan,11.0,7000,77000.0,65.0
2024-05-28,Indomie Goreng,Makanan Instan,4.0,3500,14000.0,434.0
2025-12-03,Tepung Terigu,Sembako,10.0,14000,140000.0,611.0
2023-05-08,Kopi Botol,Minuman,12.0,7000,84000.0,388.0
2023-09-25,Kecap Manis,Sembako,13.0,15000,195000.0,151.0
2024-04-17,Minuman Isotonik,Minuman,,8500,,406.0
2025-10-13,Jus Kotak,Minuman,17.0,7000,119000.0,410.0
2024-06-04,Kecap Manis,Sembako,7.0,15000,105000.0,102.0
2023-01-08,Teh Celup,Minuman,7.0,8000,56000.0,259.0
2025-12-09,Saus Sambal,Sembako,6.0,13000,78000.0,591.0
2025-05-24,Susu Kental Manis,Produk Susu,11.0,12000,132000.0,202.0
2024-01-03,Indomie Goreng,Makanan Instan,15.0,3500,52500.0,704.0
2025-02-24,Biskuit Coklat,Snack,9.0,9000,81000.0,596.0
2023-12-09,Susu Kental Manis,Produk Susu,3.0,12000,36000.0,666.0
2024-12-06,Roti Tawar,Snack,4.0,15000,60000.0,286.0
2025-12-19,,Makanan Instan,,7000,63000.0,
2025-07-14,Teh Celup,Minuman,14.0,8000,112000.0,364.0
2025-12-28,,Makanan Instan,,3500,56000.0,
2024-12-06,Wafer Coklat,Snack,14.0,8000,112000.0,685.0
2023-06-29,Kopi Botol,Minuman,4.0,7000,28000.0,276.0
2025-09-09,Indomie Goreng,Makanan Instan,6.0,3500,21000.0,352.0
2023-01-28,Yogurt Botol,Produk Susu,14.0,10000,140000.0,350.0
2024-09-20,Saus Sambal,Sembako,9.0,13000,117000.0,151.0
2023-01-10,,Snack,5.0,9000,45000.0,284.0
2023-10-14,Kopi Botol,Minuman,15.0,7000,105000.0,61.0
2023-08-27,Coklat Batang,Snack,6.0,11000,66000.0,207.0
2024-10-28,Ramen Pedas,Makanan Instan,8.0,7000,56000.0,254.0
2024-05-12,Susu UHT,Produk Susu,1.0,9000,9000.0,150.0
2025-06-29,,Snack,,15000,,
2023-04-24,Indomie Goreng,Makanan Instan,1.0,3500,3500.0,122.0
2024-02-13,Sereal Sarapan,Produk Susu,5.0,25000,125000.0,165.0
2023-03-06,Kopi Botol,Minuman,2.0,7000,14000.0,315.0
2025-11-02,Ramen Pedas,Makanan Instan,8.0,7000,56000.0,295.0
2024-03-05,Teh Celup,Minuman,12.0,8000,96000.0,667.0
2023-07-22,Kopi Sachet,Minuman,5.0,2500,12500.0,236.0
2023-10-25,Susu Kental Manis,Produk Susu,11.0,12000,132000.0,570.0
2024-04-25,Yogurt Botol,Produk Susu,7.0,10000,70000.0,541.0
2024-12-12,Minyak Goreng,Sembako,13.0,28000,364000.0,263.0
2024-11-21,Susu Kental Manis,Produk Susu,15.0,12000,180000.0,487.0
2023-11-11,Minuman Isotonik,Minuman,7.0,8500,59500.0,576.0
2023-12-31,Roti Tawar,Snack,1.0,15000,15000.0,175.0
2024-09-04,Mie Ayam Instan,Makanan Instan,7.0,4000,28000.0,378.0
2024-05-05,Keripik Kentang,Snack,4.0,12000,48000.0,170.0
2025-08-14,Teh Botol,Minuman,7.0,5000,35000.0,339.0
2023-09-06,Air Mineral,Minuman,1.0,4000,4000.0,540.0
2024-01-05,Yogurt Botol,Produk Susu,15.0,10000,150000.0,194.0
2024-08-21,Beras Medium,Sembako,13.0,65000,845000.0,420.0
2023-07-04,Kopi Botol,Minuman,10.0,7000,70000.0,451.0
2024-09-25,Mie Ayam Instan,Makanan Instan,13.0,4000,52000.0,105.0
2024-11-03,Kopi Botol,Minuman,16.0,7000,112000.0,543.0
2025-07-07,Biskuit Coklat,Snack,13.0,9000,117000.0,162.0
2024-09-18,Air Mineral,Minuman,2.0,4000,8000.0,108.0
2025-09-26,Wafer Coklat,Snack,15.0,8000,120000.0,291.0
2025-12-26,Kacang Panggang,Snack,8.0,10000,80000.0,173.0
2025-11-01,,Sembako,,75000,,391.0
2024-02-02,Ramen Pedas,Makanan Instan,5.0,7000,35000.0,591.0
2025-01-02,Susu UHT,Produk Susu,4.0,9000,36000.0,277.0
2023-10-23,Telur Ayam,Sembako,13.0,30000,390000.0,58.0
2024-12-11,Biskuit Coklat,Snack,5.0,9000,45000.0,434.0
2025-06-20,Kopi Botol,Minuman,6.0,7000,42000.0,561.0
2025-11-28,Mie Ayam Instan,Makanan Instan,15.0,4000,60000.0,61.0
2023-06-03,Beras Medium,Sembako,3.0,65000,195000.0,367.0
2023-11-14,Beras Premium,Sembako,2.0,75000,150000.0,313.0
2023-09-14,Tepung Terigu,Sembako,11.0,14000,154000.0,505.0
2023-11-10,Ramen Pedas,Makanan Instan,11.0,7000,77000.0,668.0
2024-08-17,Beras Premium,Sembako,11.0,75000,825000.0,453.0
2024-10-07,Kopi Botol,Minuman,15.0,7000,105000.0,180.0
2024-03-22,Biskuit Coklat,Snack,12.0,9000,108000.0,98.0
2025-08-24,Tepung Terigu,Sembako,13.0,14000,182000.0,277.0
2025-02-20,Kopi Botol,Minuman,12.0,7000,84000.0,163.0
2025-11-03,Jus Kotak,Minuman,19.0,7000,133000.0,53.0
2025-05-30,Indomie Soto,Makanan Instan,6.0,3500,21000.0,389.0
2025-07-12,Teh Botol,Minuman,18.0,5000,90000.0,222.0
2025-07-18,,Produk Susu,8.0,12000,,427.0
2025-10-22,,Minuman,16.0,8000,128000.0,
2025-08-15,Teh Botol,Minuman,17.0,5000,85000.0,331.0
2023-04-04,Coklat Batang,Snack,12.0,11000,132000.0,543.0
2023-01-27,Beras Medium,Sembako,11.0,65000,715000.0,150.0
2025-03-19,Roti Tawar,Snack,16.0,15000,240000.0,93.0
2024-03-16,Kopi Botol,Minuman,5.0,7000,35000.0,516.0
2023-11-24,Telur Ayam,Sembako,7.0,30000,210000.0,71.0
2023-08-19,Sereal Sarapan,Produk Susu,9.0,25000,225000.0,487.0
2023-01-17,Susu UHT,Produk Susu,15.0,9000,135000.0,309.0
2023-01-01,Indomie Goreng,Makanan Instan,9.0,3500,31500.0,191.0
2024-03-19,Keju Slice,Produk Susu,13.0,18000,234000.0,491.0
2025-06-12,Roti Tawar,Snack,3.0,15000,45000.0,518.0
2024-08-15,Keripik Kentang,Snack,3.0,12000,36000.0,536.0
2023-10-12,,Minuman,,8000,,414.0
2024-03-09,Keripik Kentang,Snack,14.0,12000,168000.0,226.0
2024-06-08,Coklat Batang,Snack,2.0,11000,22000.0,129.0
2025-12-27,Minuman Isotonik,Minuman,15.0,8500,127500.0,113.0
2025-08-04,Jus Kotak,Minuman,14.0,7000,98000.0,494.0
2023-12-26,Biskuit Coklat,Snack,2.0,9000,18000.0,276.0
2023-09-18,Mie Ayam Instan,Makanan Instan,13.0,4000,52000.0,235.0
2023-05-18,,Minuman,2.0,5000,10000.0,
2025-01-26,Indomie Soto,Makanan Instan,12.0,3500,42000.0,328.0
2023-06-12,Wafer Coklat,Snack,2.0,8000,16000.0,621.0
2025-04-13,Yogurt Botol,Produk Susu,6.0,10000,60000.0,72.0
2023-06-03,Saus Sambal,Sembako,10.0,13000,130000.0,132.0
2023-11-04,Kecap Manis,Sembako,3.0,15000,45000.0,365.0
2023-10-21,Air Mineral,Minuman,4.0,4000,16000.0,515.0
2024-01-16,Tepung Terigu,Sembako,7.0,14000,98000.0,298.0
2023-12-23,Kacang Panggang,Snack,10.0,10000,100000.0,358.0
2025-01-07,Coklat Batang,Snack,16.0,11000,176000.0,323.0
2025-02-06,Susu Kental Manis,Produk Susu,13.0,12000,156000.0,309.0
2023-10-28,Indomie Soto,Makanan Instan,10.0,3500,35000.0,524.0
2023-12-21,Susu Kental Manis,Produk Susu,11.0,12000,132000.0,109.0
2023-07-29,Biskuit Coklat,Snack,1.0,9000,9000.0,405.0
2023-04-22,Sereal Sarapan,Produk Susu,,25000,125000.0,
2025-11-21,Susu UHT,Produk Susu,15.0,9000,135000.0,398.0
2024-06-25,Kacang Panggang,Snack,11.0,10000,110000.0,230.0
2023-06-21,Gula Pasir,Sembako,5.0,16000,80000.0,442.0
2023-10-19,Beras Premium,Sembako,12.0,75000,900000.0,494.0
2025-04-27,Susu Kental Manis,Produk Susu,4.0,12000,48000.0,552.0
2025-10-01,Kacang Panggang,Snack,13.0,10000,130000.0,63.0
2023-04-19,Keripik Kentang,Snack,10.0,12000,120000.0,409.0
2025-05-22,Teh Botol,Minuman,13.0,5000,65000.0,116.0
2025-08-24,Susu Kental Manis,Produk Susu,9.0,12000,108000.0,121.0
2025-06-15,Gula Pasir,Sembako,10.0,16000,160000.0,197.0
2023-01-05,Beras Premium,Sembako,10.0,75000,750000.0,332.0
2025-07-11,Ramen Pedas,Makanan Instan,12.0,7000,84000.0,293.0
2025-04-04,Minyak Goreng,Sembako,6.0,28000,168000.0,241.0
2025-12-22,Kopi Botol,Minuman,10.0,7000,70000.0,143.0
2023-06-05,Yogurt Botol,Produk Susu,11.0,10000,110000.0,327.0
2025-03-24,Indomie Goreng,Makanan Instan,10.0,3500,35000.0,200.0
2023-03-01,Keripik Kentang,Snack,,12000,168000.0,532.0
2024-07-25,,Makanan Instan,16.0,3500,,165.0
2025-12-01,Susu UHT,Produk Susu,16.0,9000,144000.0,92.0
2025-04-13,Yogurt Botol,Produk Susu,6.0,10000,,72.0
